employee_id,fullname,nik_baru,company_id,area_id,position_id,department_id,division_id,directorate_id,grade_id,education_id,major_id,years_of_service_months,nip
EMP100013,Maya Mahendra,,4,4,6,2,1,2,3,1,4,3,656829
EMP100014,Wahyu Indrawan,,3,3,6,1,3,1,2,4,2,65,503585
EMP100015,Zahra Utama Setiawan,,4,2,3,4,5,2,3,2,1,28,155133
EMP100016,Dinda Pramudita Ginting,,1,4,6,6,5,2,2,1,3,39,658786
EMP100017,Fajar Mahendra,,2,1,4,3,1,2,3,2,2,95,583676
EMP100018,Arif Ginting,,4,3,5,3,5,3,2,1,6,53,588205
EMP100019,Rizki Iqbal Gunawan,,3,4,4,2,1,2,1,3,6,27,341900
EMP100020,Yoga Erlangga Hartanto,,1,3,1,6,4,1,2,4,5,31,850478
EMP100021,Oka Candra Kurniawan,,3,3,1,4,3,2,3,2,6,81,828497
EMP100022,Oka Nugroho,,2,1,2,3,1,2,2,3,3,53,674733
EMP100023,Adit Kurniawan,,4,2,3,2,1,2,2,4,1,49,555024
EMP100024,Rendra Candra Maulida,,2,1,5,3,2,2,2,3,4,44,884289
EMP100025,Rizky Dharma Purnama,,1,3,1,2,5,3,3,2,2,20,786831
EMP100026,Wulan Yudhistira Tamba,,4,1,4,2,5,2,2,4,3,65,926498
EMP100027,Oka Rohman,,3,3,2,1,5,1,3,3,2,132,176075
EMP100028,Nadia Saputra,,3,1,3,3,4,1,2,4,5,22,373327
EMP100029,Satya Adi Hasibuan,,3,3,5,6,5,1,1,1,5,32,491714
EMP100030,Rizky Anugrah Permadi,,3,1,5,3,4,2,3,3,4,56,276288
EMP100031,Julia Nabila Kurniawan,,4,4,3,2,4,3,2,4,2,34,379652
EMP100032,Galih Mahardika Purnama,,2,1,3,6,3,3,1,4,2,34,980623
EMP100033,Ahmad Simanjuntak,,2,2,5,3,1,3,2,4,3,37,846300
EMP100034,Ari Adi Ginting,,1,4,6,5,5,2,1,4,1,86,510070
EMP100035,Oka Tamba,,3,4,1,5,4,3,3,2,4,57,243414
EMP100036,Ayunda Utama Lestari,,2,1,1,6,4,3,3,2,3,54,515963
EMP100037,Nabila Ramadhan,,1,1,6,4,2,1,2,2,6,52,967856
EMP100038,Bella Tri Setiawan,,3,3,6,5,3,2,3,4,2,50,446315
EMP100039,Budi Adi Permadi,,2,2,4,3,2,2,1,3,4,65,476249
EMP100040,Rifqi Putra,,3,1,4,2,2,3,2,4,2,81,751135
EMP100041,Lestari Maulana,,4,2,3,6,2,1,1,2,4,99,135400
EMP100042,Oka Lukman,,3,3,6,2,4,2,1,4,3,28,191210
EMP100043,Nugroho Indrawan,,2,2,3,4,2,2,1,1,3,40,123837
EMP100044,Indra Maulida,,4,4,5,3,1,2,1,2,6,8,742065
EMP100045,Dimas Mahendra,,2,3,2,3,4,1,3,1,5,38,581488
EMP100046,Fitri Lestari,,3,4,1,4,3,1,2,2,6,64,117913
EMP100047,Hadi Pradana,,3,2,2,2,5,1,1,3,5,58,161695
EMP100048,Adit Halim,,3,4,4,5,4,3,1,4,6,50,557326
EMP100049,Rizki Halim Siregar,,1,4,5,1,1,1,3,4,6,35,453636
EMP100050,Joko Ridwan,,4,3,4,3,5,3,1,2,2,69,411437
EMP100051,Ari Mahardika Nugroho,,4,4,5,1,4,3,1,3,5,98,286318
EMP100052,Sari Yudhistira Mahendra,,1,4,4,2,1,2,3,3,3,23,740192
EMP100053,Anisa Pamungkas,,1,3,1,3,3,1,3,3,5,52,770602
EMP100054,Nugroho Maulida,,2,4,4,3,5,1,1,2,3,22,239182
EMP100055,Putri Nugroho,,1,2,6,1,4,1,2,4,5,42,153339
EMP100056,Ayunda Ramadhan,,4,4,1,4,3,2,1,3,3,96,401856
EMP100057,Nurlita Kusuma,,3,2,6,2,4,3,3,1,4,60,285929
EMP100058,Adit Anugrah Halim,,3,3,2,4,1,2,3,2,4,66,827158
EMP100059,Fajar Dharma Subekti,,2,3,3,2,4,1,3,4,6,75,404880
EMP100060,Wulan Maulida,,1,4,3,4,1,3,2,2,2,44,302930
EMP100061,Oktavia Anugrah Setiawan,,4,3,6,4,1,1,3,1,5,46,275683
EMP100062,Valdo Jatmiko Mahendra,,3,3,4,6,3,2,2,3,2,40,249908
EMP100063,Ayu Lestari Pradana,,2,1,1,4,2,1,1,3,5,42,461165
EMP100064,Kurnia Purnama,,1,2,6,5,4,3,3,1,6,38,551120
EMP100065,Rani Saputra,,1,4,1,1,4,2,2,1,4,24,240200
EMP100066,Tania Lestari Setiawan,,1,4,3,1,2,1,1,1,1,65,378824
EMP100067,Indra Zulfikar,,1,3,3,1,2,1,3,1,1,89,696462
EMP100068,Nabila Qolbi Suharto,,4,1,3,2,5,2,1,4,1,68,671201
EMP100069,Anisa Permadi,,1,3,4,2,4,3,1,2,2,61,252350
EMP100070,Kartika Rachman Ramadhan,,3,4,6,2,4,3,1,1,5,47,855424
EMP100071,Rafa Situmorang,,2,3,4,3,4,3,1,2,4,72,871247
EMP100072,Nugroho Hartanto,,2,1,3,5,3,1,1,3,6,45,161630
EMP100073,Dimas Halim Ananda,,2,3,3,3,5,1,3,3,1,85,972245
EMP100074,Ari Utama Putra,,4,1,2,1,3,2,3,1,3,32,100945
EMP100075,Rizki Halim Zulfikar,,3,1,5,4,5,3,1,4,4,24,290052
EMP100076,Rizki Wijaya,,1,3,6,5,4,2,1,3,1,4,458782
EMP100077,Novi Setiawan,,3,4,3,3,1,3,1,3,5,35,115692
EMP100078,Indra Anggara,,1,1,6,3,1,3,3,4,1,39,811320
EMP100079,Novi Hasibuan,,4,4,3,3,4,1,1,1,5,67,298849
EMP100080,Andi Mahardika Handayani,,2,1,2,3,3,3,2,4,2,43,274945
EMP100081,Ari Yulianto,,1,4,6,1,3,3,3,3,3,85,447230
EMP100082,Budi Dharma Lukman,,3,4,1,3,2,3,3,4,1,63,247239
EMP100083,Rizka Erlangga Subekti,,1,3,6,6,1,3,2,4,1,19,286153
EMP100084,Dian Rachman Handayani,,1,3,6,2,1,3,2,1,2,16,735572
EMP100085,Ahmad Rohman,,2,4,2,3,4,2,3,2,1,22,540638
EMP100086,Rani Syahputra,,3,3,4,6,5,1,3,3,3,23,503804
EMP100087,Rizka Ananda,,2,1,1,6,2,2,3,3,3,12,649357
EMP100088,Nadia Saputra Mahendra,,2,4,3,2,4,1,1,3,6,38,192144
EMP100089,Umar Simanjuntak,,1,2,5,4,3,3,3,2,4,56,179520
EMP100090,Maya Pratomo,,2,4,6,5,4,2,2,2,5,27,304860
EMP100091,Oka Candra Firmansyah,,4,1,3,3,1,1,2,3,1,10,109937
EMP100092,Ahmad Indrawan,,2,1,2,4,1,3,3,2,2,68,810984
EMP100093,Nadia Lestari Utami,,1,1,2,5,3,3,2,2,6,57,218189
EMP100094,Nadia Utama Yulianto,,4,1,1,3,3,3,1,2,4,33,838236
EMP100095,Fitri Pamungkas,,2,4,3,4,5,2,2,3,5,41,186709
EMP100096,Rama Dharma Wibowo,,4,3,2,6,2,1,2,3,4,77,349891
EMP100097,Valdo Subekti,,1,1,6,2,1,3,1,2,3,64,922054
EMP100098,Indra Hidayat,,3,4,3,3,1,1,3,2,1,57,843650
EMP100099,Tania Suharto,,3,4,4,4,2,2,1,2,6,46,635643
EMP100100,Intan Rachman Suharto,,4,4,1,4,1,1,2,1,2,55,198295
EMP100101,Yoga Pratomo,,3,1,4,1,1,2,3,4,5,51,264764
EMP100102,Dinda Permadi,,1,2,3,6,1,3,1,3,3,22,342888
EMP100103,Ayu Ginting,,4,1,2,3,1,3,2,1,1,32,310700
EMP100104,Budi Pratama,,4,4,4,3,3,2,1,4,6,81,642860
EMP100105,Maya Yulianto,,2,1,1,4,4,2,1,4,1,16,653381
EMP100106,Valdo Wijaya Wijaya,,3,3,1,6,5,3,3,4,1,64,335938
EMP100107,Dian Fauziah,,4,2,4,5,3,1,2,4,4,45,273235
EMP100108,Dinda Erlangga Handayani,,4,2,3,3,5,3,2,2,6,58,455098
EMP100109,Dinda Wibowo,,3,1,2,3,4,3,3,4,4,55,127614
EMP100110,Citra Hartanto,,3,2,5,3,5,2,3,3,4,46,528735
EMP100111,Rendra Herlambang,,2,2,3,6,4,1,3,3,5,44,510681
EMP100112,Adit Mahardika Pratama,,4,4,3,1,4,3,1,1,3,36,874330
EMP100113,Iman Rachman Rahmawati,,1,4,1,6,3,1,2,1,5,55,313238
EMP100114,Vania Fadillah Fauziah,,2,2,4,4,5,2,2,4,2,15,475116
EMP100115,Satya Yudhistira Lukman,,2,1,1,2,4,2,1,3,4,41,804211
EMP100116,Bayu Ridwan,,2,2,6,4,3,2,3,2,5,50,747077
EMP100117,Prasetyo Gunawan,,4,4,4,6,2,2,2,2,6,39,362939
EMP100118,Julia Pramudita Hartanto,,4,4,4,2,5,3,3,2,4,53,244488
EMP100119,Iman Ginting,,2,2,6,1,3,1,2,2,3,1,562438
EMP100120,Iman Maulida,,4,2,2,1,2,1,2,1,3,52,949849
EMP100121,Bayu Hidayat,,1,3,4,3,2,3,1,2,4,56,174665
EMP100122,Rizki Simanjuntak,,2,3,6,4,1,3,3,2,2,10,580039
EMP100123,Kurnia Jatmiko Permadi,,2,1,5,2,1,1,2,4,2,54,557929
EMP100124,Maya Nabila Salsabila,,2,4,2,4,5,2,1,1,2,52,614276
EMP100125,Nabila Lestari Santoso,,2,4,5,1,3,2,3,1,1,45,500320
EMP100126,Vania Siregar,,3,4,5,5,1,3,3,3,3,67,549217
EMP100127,Lestari Gunawan,,1,3,6,4,1,1,3,3,6,26,809952
EMP100128,Ahmad Siregar,,1,1,4,6,4,2,2,2,3,58,282135
EMP100129,Dian Utama Kusuma,,4,4,2,1,1,1,2,3,2,17,445242
EMP100130,Citra Rahmawati,,2,3,1,1,2,3,1,4,3,68,328046
EMP100131,Ayunda Adi Hartanto,,1,1,4,5,4,1,3,3,3,58,190746
EMP100132,Maya Ramadhan,,1,2,2,5,4,2,3,2,6,46,378744
EMP100133,Rendra Handayani,,2,2,4,2,1,3,1,3,1,30,851667
EMP100134,Rifqi Wijaya,,4,2,5,3,5,2,1,1,5,61,526403
EMP100135,Indra Wijaya Ridwan,,1,3,4,1,5,3,1,1,6,14,738691
EMP100136,Maya Pradana,,3,2,2,2,2,1,1,1,6,76,517117
EMP100137,Rizky Jatmiko Hasibuan,,1,2,1,5,4,2,1,1,1,124,553122
EMP100138,Rani Zulfikar,,2,1,3,4,1,2,3,4,5,42,432483
EMP100139,Nadia Herlambang,,1,2,4,4,2,3,3,2,3,78,982093
EMP100140,Yuni Siregar,,4,2,6,3,2,1,1,4,6,54,998756
EMP100141,Fitri Utami,,4,3,6,2,1,3,3,3,1,67,861763
EMP100142,Indra Putra,,1,3,4,4,1,3,1,1,5,64,749034
EMP100143,Nadia Pramudita Wibowo,,1,3,2,5,3,3,2,2,3,22,895607
EMP100144,Bella Nabila Purnama,,2,2,4,2,1,3,2,2,6,20,423266
EMP100145,Novi Purnama,,3,1,5,1,4,1,1,4,5,41,148545
EMP100146,Maya Wijaya,,2,4,5,5,1,2,1,1,5,35,249743
EMP100147,Hana Ridwan,,4,3,6,2,5,1,2,2,6,7,335078
EMP100148,Galih Zulfikar Hasibuan,,2,1,1,5,4,1,1,4,2,100,703594
EMP100149,Teguh Saputra Hasibuan,,4,2,4,5,2,3,1,4,3,60,512914
EMP100150,Hadi Hasibuan,,3,3,1,5,1,1,3,3,6,69,207057
EMP100151,Wahyu Permadi,,4,1,3,6,5,3,1,4,1,42,332971
EMP100152,Satya Siregar,,3,4,2,2,5,3,3,2,5,59,645559
EMP100153,Arif Herlambang,,4,1,3,2,3,3,1,3,6,66,692402
EMP100154,Kurnia Maulida,,1,2,2,1,1,2,2,4,4,39,876199
EMP100155,Citra Jatmiko Siregar,,1,3,3,4,3,3,1,4,2,74,846042
EMP100156,Yoga Anugrah Lestari,,2,1,4,3,2,3,1,4,1,66,302014
EMP100157,Maya Zulfikar Purnama,,2,1,1,2,2,2,3,1,2,15,229728
EMP100158,Lestari Syahputra,,3,1,4,3,5,1,3,2,6,20,659507
EMP100159,Nabila Mahendra,,4,3,4,1,5,2,3,1,5,45,773399
EMP100160,Nugroho Rachman Salsabila,,4,1,1,6,1,2,2,4,4,83,260531
EMP100161,Wulan Saputra Pratama,,4,2,6,3,5,3,1,2,4,78,937812
EMP100162,Eko Adi Permadi,,3,2,5,5,3,1,2,4,5,38,635327
EMP100163,Oktavia Pramudita Sinaga,,2,4,2,6,2,3,1,3,2,74,411227
EMP100164,Wahyu Iqbal Pratomo,,4,4,2,3,5,2,1,2,5,81,906701
EMP100165,Kurnia Nugroho,,4,4,6,1,5,1,3,3,6,18,272376
EMP100166,Wahyu Yulianto,,2,3,4,4,3,3,1,3,3,34,212302
EMP100167,Eko Zulfikar,,3,2,4,2,5,3,1,3,2,84,595197
EMP100168,Wahyu Rachman Utami,,1,2,3,2,4,1,3,2,3,77,459611
EMP100169,Intan Permadi,,2,4,4,3,3,2,2,2,6,55,292727
EMP100170,Dinda Wijaya Zulfikar,,4,4,1,4,1,3,1,1,5,103,889308
EMP100171,Nadia Yulianto,,1,1,2,3,5,3,3,3,2,44,164530
EMP100172,Dinda Ridwan,,3,4,6,3,2,1,3,3,6,15,746866
EMP100173,Ahmad Wijaya,,4,3,6,6,5,2,3,3,1,81,181237
EMP100174,Ayunda Nabila Ramadhan,,3,4,5,4,3,2,2,3,5,74,137718
EMP100175,Budi Hasibuan,,1,2,2,5,4,1,1,4,6,28,757262
EMP100176,Fajar Firmansyah,,3,3,6,3,3,1,1,1,4,10,952140
EMP100177,Rama Mahardika Wijaya,,2,1,5,6,4,1,3,3,4,19,228799
EMP100178,Nurlita Siregar,,3,3,4,1,2,3,1,2,3,56,371453
EMP100179,Andi Santoso,,2,1,5,4,5,2,3,3,3,41,255408
EMP100180,Evi Kurniawan,,2,1,1,1,1,2,1,4,4,44,281925
EMP100181,Dewi Mahardika Salsabila,,1,2,4,4,5,1,1,4,3,63,564954
EMP100182,Joko Kusuma Maulana,,3,3,4,4,5,3,1,2,6,49,980488
EMP100183,Valdo Herlambang,,1,1,2,4,5,2,3,4,6,16,212000
EMP100184,Rizka Pamungkas,,4,3,3,1,5,2,3,3,2,62,270387
EMP100185,Yuni Anugrah Subekti,,3,1,6,2,4,2,2,3,1,59,360441
EMP100186,Rizki Halim,,3,4,3,5,3,3,2,2,6,59,489939
EMP100187,Ayu Tamba,,2,4,6,6,5,2,1,2,1,39,561710
EMP100188,Novi Pramudita Syahputra,,3,3,1,1,4,3,3,3,1,7,711579
EMP100189,Andi Ganesha Hartanto,,3,3,1,3,2,2,3,4,6,78,355817
EMP100190,Kartika Santoso,,2,1,5,6,3,3,1,3,6,45,820251
EMP100191,Cahyo Wijaya,,3,1,5,1,4,1,1,2,4,61,731090
EMP100192,Yoga Handayani,,3,1,5,2,5,3,2,3,6,86,437723
EMP100193,Kurnia Anugrah Kurniawan,,4,2,5,2,1,1,1,4,1,38,263702
EMP100194,Arif Hasibuan,,3,2,1,3,1,1,2,1,2,41,345752
EMP100195,Fitri Purnama,,3,3,3,6,1,1,2,4,3,29,395742
EMP100196,Kurnia Situmorang,,3,3,2,4,4,1,3,4,3,34,229790
EMP100197,Fitri Santoso,,1,4,4,5,4,1,3,1,3,15,895048
EMP100198,Citra Baskara Suharto,,2,4,1,2,1,3,2,1,4,66,693575
EMP100199,Valdo Zulfikar Halim,,1,3,1,5,2,3,2,3,4,70,571816
EMP100200,Lestari Pratomo,,4,1,5,2,2,2,2,2,3,46,560557
EMP100201,Gita Ganesha Santoso,,4,2,1,5,4,3,3,2,5,29,960157
EMP100202,Rizky Anugrah Suharto,,3,3,4,3,2,1,1,1,3,26,899344
EMP100203,Teguh Kusuma Siregar,,1,3,1,5,3,2,1,1,4,46,261676
EMP100204,Utami Candra Ginting,,1,4,4,4,5,2,1,2,3,75,744103
EMP100205,Vania Adi Nugroho,,4,3,3,2,4,1,3,2,5,12,360370
EMP100206,Sari Pratomo,,1,4,4,6,1,2,3,1,3,38,360509
EMP100207,Lestari Qolbi Setiawan,,1,2,1,1,4,3,2,1,3,54,214779
EMP100208,Hadi Tri Maulida,,3,3,1,6,2,3,2,1,2,79,256506
EMP100209,Nugroho Pamungkas,,2,2,6,6,1,2,1,4,5,45,244390
EMP100210,Zaki Jatmiko Sinaga,,1,4,4,4,1,3,2,4,3,56,141771
EMP100211,Dian Tri Pratomo,,3,1,1,3,4,3,1,4,5,38,642425
EMP100212,Galih Kurniawan,,3,1,5,5,5,3,3,3,4,14,286882
EMP100213,Rizky Permadi,,4,2,4,6,2,2,3,3,1,59,636241
EMP100214,Oktavia Subekti,,1,1,5,4,4,2,3,2,1,16,709787
EMP100215,Valdo Wijaya,,2,2,1,1,3,1,1,3,4,97,822227
EMP100216,Sari Ananda,,4,1,5,6,5,1,2,4,4,10,408721
EMP100217,Luthfi Purnama,,2,3,1,5,4,3,1,1,2,35,738931
EMP100218,Ayu Lukman,,4,4,2,6,1,2,2,3,1,35,945788
EMP100219,Julia Kusuma Santoso,,3,1,5,5,3,2,2,1,4,14,398604
EMP100220,Rizka Adi Setiawan,,2,2,6,6,3,3,1,4,5,63,454642
EMP100221,Dimas Qolbi Maulana,,4,4,2,3,3,3,1,1,1,3,565432
EMP100222,Luthfi Wijaya,,2,3,1,1,4,2,2,3,1,88,476268
EMP100223,Utami Mahardika Rohman,,4,3,2,3,4,3,3,4,3,2,812910
EMP100224,Rafa Maulida,,1,2,4,2,1,1,3,1,4,75,414878
EMP100225,Fajar Purnama,,3,1,6,3,1,1,3,3,2,48,410679
EMP100226,Nabila Simanjuntak,,2,1,4,3,1,1,1,2,4,11,407321
EMP100227,Wulan Suharto,,2,4,1,6,4,3,2,2,4,61,836120
EMP100228,Satya Candra Handayani,,4,2,2,2,4,1,2,2,4,53,827729
EMP100229,Rizki Putra,,2,2,6,5,5,3,3,3,5,22,636376
EMP100230,Eko Indrawan,,4,4,1,2,1,3,2,2,4,91,222544
EMP100231,Satya Halim Hidayat,,3,4,1,3,5,1,2,2,3,17,732788
EMP100232,Zaki Ridwan,,1,1,1,4,4,3,3,3,2,65,501019
EMP100233,Utami Iqbal Gunawan,,2,4,6,5,4,3,2,4,6,66,240856
EMP100234,Galih Jatmiko Maulana,,4,2,6,3,2,3,2,4,5,19,213578
EMP100235,Bayu Maulida,,4,3,6,6,2,1,2,3,2,36,886319
EMP100236,Teguh Santoso,,1,3,4,5,4,3,1,3,4,20,274035
EMP100237,Sari Halim Siregar,,4,3,2,5,5,3,3,3,1,36,225799
EMP100238,Dewi Siregar,,1,3,1,4,3,1,1,3,1,98,729851
EMP100239,Dimas Sinaga,,1,2,1,4,3,1,2,3,6,16,307781
EMP100240,Oktavia Hartanto,,1,3,1,2,5,3,1,3,1,19,589164
EMP100241,Sari Saputra Lukman,,4,2,6,4,2,1,2,1,6,81,692319
EMP100242,Rifqi Pamungkas,,4,1,2,5,2,2,2,2,3,52,761064
EMP100243,Sari Yudhistira Setiawan,,2,3,2,2,2,2,1,4,5,40,828379
EMP100244,Zaki Suharto,,1,2,3,3,4,1,2,3,4,85,107836
EMP100245,Budi Kurniawan,,2,1,3,4,1,2,2,2,4,79,773435
EMP100246,Rizky Subekti,,1,1,3,3,3,3,1,2,2,28,415281
EMP100247,Hadi Ganesha Wijaya,,1,1,1,3,1,3,3,1,5,59,546699
EMP100248,Ahmad Erlangga Siregar,,2,3,1,5,1,2,2,3,4,7,937306
EMP100249,Evi Ridwan,,4,4,2,6,2,3,1,1,5,82,878002
EMP100250,Arif Mahardika Kusuma,,4,2,1,1,4,1,3,4,6,56,284620
EMP100251,Vania Halim Santoso,,1,3,3,3,5,3,2,2,5,25,686738
EMP100252,Wulan Adi Mahendra,,2,2,6,5,3,3,1,1,5,65,178638
EMP100253,Putri Kusuma,,2,2,2,5,5,2,2,2,6,83,728438
EMP100254,Wulan Salsabila,,1,4,1,3,2,3,1,1,6,55,372212
EMP100255,Cahyo Anggara,,3,3,2,2,1,2,2,2,4,49,299456
EMP100256,Maya Dharma Pamungkas,,3,4,2,6,3,1,2,3,2,54,372471
EMP100257,Zahra Aji Zulfikar,,2,1,3,4,1,2,3,4,6,85,761892
EMP100258,Fitri Adi Maulana,,1,3,4,5,3,1,1,1,1,4,987651
EMP100259,Gita Ridwan,,2,1,6,5,3,3,3,1,6,52,873855
EMP100260,Ahmad Pramudita Siregar,,4,4,2,5,1,2,2,1,4,88,774643
EMP100261,Valdo Gunawan,,1,1,1,5,5,3,1,2,1,42,998529
EMP100262,Iman Baskara Saputra,,1,2,4,2,4,1,2,3,1,55,712560
EMP100263,Maya Handayani,,2,4,1,6,2,1,2,2,4,70,335338
EMP100264,Citra Utami,,2,1,1,5,5,3,2,3,3,95,662357
EMP100265,Citra Yulianto,,4,1,3,3,4,3,1,3,5,47,688712
EMP100266,Prasetyo Firmansyah,,2,1,6,2,5,1,3,1,4,49,672031
EMP100267,Nurlita Saputra Sinaga,,4,1,4,4,1,1,2,2,2,61,872771
EMP100268,Nadia Tri Fauziah,,1,3,5,2,2,1,1,1,3,73,935756
EMP100269,Zahra Pramudita Kusuma,,2,1,1,1,3,2,2,1,3,81,772941
EMP100270,Rani Aji Setiawan,,2,1,5,3,2,1,2,2,4,53,325137
EMP100271,Rani Nugroho,,2,3,4,6,1,1,2,4,2,102,504606
EMP100272,Yoga Qolbi Herlambang,,1,1,6,5,5,1,3,3,2,60,509363
EMP100273,Rani Wibowo,,4,1,1,4,3,2,2,2,3,48,313299
EMP100274,Nabila Anugrah Gunawan,,2,1,6,5,5,3,2,3,4,34,489184
EMP100275,Evi Maulana,,1,3,5,3,2,1,2,2,3,58,622572
EMP100276,Maya Fauziah,,3,2,2,4,4,1,1,1,1,47,204779
EMP100277,Nadia Handayani,,3,2,1,5,2,3,1,1,1,31,161543
EMP100278,Tania Qolbi Lukman,,2,3,2,6,3,3,1,1,2,57,392035
EMP100279,Julia Wibowo,,2,2,1,1,2,1,1,3,6,73,344811
EMP100280,Yuni Nabila Handayani,,3,2,4,2,2,3,3,1,6,72,934524
EMP100281,Bella Qolbi Ridwan,,3,3,5,5,1,3,2,1,6,29,924171
EMP100282,Indra Siregar,,4,4,4,1,4,2,3,2,4,35,149631
EMP100283,Wahyu Anggara,,3,3,5,5,3,1,1,4,2,39,567119
EMP100284,Julia Maulana,,3,2,1,2,2,3,2,4,5,27,793398
EMP100285,Adi Mahardika Setiawan,,3,2,4,3,1,3,2,2,4,15,651681
EMP100286,Hana Wijaya Anggara,,4,1,3,2,4,3,3,2,3,24,712677
EMP100287,Bella Mahendra,,1,4,2,5,5,3,1,3,1,18,574973
EMP100288,Budi Rachman Ramadhan,,4,2,5,3,3,2,2,3,3,54,264342
EMP100289,Teguh Hasibuan,,4,1,1,2,4,1,2,3,5,6,306961
EMP100290,Ahmad Mahardika Firmansyah,,4,4,1,5,3,2,2,1,2,19,971323
EMP100291,Cahyo Pratomo,,3,2,1,2,4,1,1,1,5,20,508086
EMP100292,Wahyu Halim Zulfikar,,4,4,4,6,2,3,2,2,3,2,883265
EMP100293,Sari Fadillah Mahendra,,2,1,5,6,3,3,2,1,2,88,992880
EMP100294,Fitri Dharma Hidayat,,2,2,5,6,5,1,3,3,5,65,354680
EMP100295,Hadi Dharma Siregar,,3,3,5,3,5,3,1,2,3,33,759978
EMP100296,Bayu Nugroho,,1,3,3,3,1,3,2,2,3,49,234846
EMP100297,Yoga Salsabila,,1,2,6,5,5,2,3,1,1,65,139161
EMP100298,Yuni Iqbal Saputra,,3,2,5,3,5,3,2,3,3,65,364358
EMP100299,Fajar Rachman Ridwan,,2,1,3,3,5,3,3,2,1,13,970290
EMP100300,Rama Lukman,,3,1,6,2,5,3,2,1,5,25,997537
EMP100301,Rama Zulfikar,,2,1,4,6,3,3,2,2,6,31,994634
EMP100302,Rizky Ginting,,2,2,6,3,5,2,3,4,2,3,742035
EMP100303,Bayu Wijaya Maulida,,2,4,6,2,5,3,3,2,1,95,548503
EMP100304,Valdo Halim,,2,4,3,4,1,2,2,1,4,49,860350
EMP100305,Indra Herlambang,,1,2,5,6,2,2,1,3,3,68,561242
EMP100306,Dinda Kusuma Ananda,,4,4,2,1,3,2,1,4,2,24,169031
EMP100307,Sari Indrawan,,4,3,4,4,4,3,2,3,2,29,969311
EMP100308,Nugroho Subekti,,2,2,3,5,2,3,3,1,2,52,490001
EMP100309,Valdo Ridwan,,4,3,2,5,5,3,3,3,5,61,581369
EMP100310,Rendra Pradana,,4,3,4,2,2,1,3,4,1,49,470444
EMP100311,Maya Pramudita Zulfikar,,4,3,6,3,4,2,3,4,3,62,192380
EMP100312,Maya Lestari,,1,1,6,4,1,2,2,4,5,20,273935
EMP100313,Budi Qolbi Hidayat,,1,3,2,3,4,3,1,3,4,50,928862
EMP100314,Yuni Herlambang,,4,1,2,3,4,3,1,1,4,14,183351
EMP100315,Rama Kusuma,,1,2,2,1,5,3,1,4,4,70,705053
EMP100316,Joko Siregar,,3,1,6,5,4,3,1,1,3,40,586510
EMP100317,Budi Herlambang,,4,4,6,5,1,3,2,3,6,76,982097
EMP100318,Rafa Lestari Fauziah,,3,3,3,4,1,3,1,4,1,31,189958
EMP100319,Valdo Anugrah Ramadhan,,4,3,5,1,4,3,2,4,4,101,956018
EMP100320,Budi Hartanto,,2,4,3,3,3,3,2,1,3,25,684733
EMP100321,Wulan Iqbal Herlambang,,2,1,1,3,5,2,3,3,1,42,615567
EMP100322,Rizka Pramudita Suharto,,2,3,6,2,5,2,2,3,2,56,975189
EMP100323,Umar Indrawan,,4,1,2,1,1,3,3,2,6,8,930718
EMP100324,Intan Halim,,2,4,4,2,3,3,1,3,5,48,519062
EMP100325,Wahyu Kusuma Hartanto,,1,3,2,5,5,1,3,4,2,34,242437
